T	a2
 1.53434	 0.08897
 1.53434	 0.08897
 1.53434	 0.05460
 1.53434	 0.05460
 1.53434	 0.05460
 1.53434	 0.12246
 1.53434	 0.12246
 1.53434	 0.14992
 1.53434	 0.14992
 1.53434	-0.09281
 1.53434	-0.15526
 1.53434	-0.16160
 1.53434	-0.16160
 1.53434	-0.16160
 1.53434	-0.16160
 1.53434	-0.16160
 1.53434	-0.06979
 1.53434	-0.07656
 1.53434	 0.00678
 1.53434	-0.11160
 1.53434	-0.11192
 1.53434	-0.04989
 1.53434	 0.17370
 1.53434	 0.36018
 1.53434	 0.24473
 1.53434	 0.18178
 1.53434	 0.12361
 1.53434	-0.14342
 1.53434	-0.13293
 1.53434	-0.12444
 1.53434	-0.12444
 1.53434	-0.13608
 1.53434	-0.13608
 1.53434	-0.13608
 1.53434	-0.13608
 1.53434	-0.17730
 1.53434	-0.17730
 1.53434	-0.17730
 1.53434	-0.18313
 1.53434	-0.16925
 1.53434	-0.17260
 1.53434	-0.17260
 1.53434	-0.15981
 1.53434	-0.20302
 1.53434	-0.13970
 1.53434	-0.13970
 1.53434	-0.13970
 1.53434	-0.13970
 1.53434	-0.13970
 1.53434	-0.13970
 1.53434	-0.13795
 1.53434	-0.06371
 1.53434	-0.07576
 1.53434	-0.07576
 1.53434	-0.01428
 1.53434	-0.01428
 1.53434	-0.20744
 1.53434	-0.20744
 1.53434	-0.20744
 1.53434	-0.20744
 1.53434	-0.20744
 1.53434	 0.03863
 1.53434	 0.03866
 1.53434	-0.23054
 1.53434	 0.06119
 1.53434	 0.03988
 1.53434	 0.04014
 1.53434	 0.05662
 1.53434	 0.05662
 1.53434	 0.03969
 1.53434	 0.03969
 1.53434	-0.00548
 1.53434	-0.00548
 1.53434	 0.00517
 1.53434	 0.00839
 1.53434	 0.00839
 1.53434	 0.00839
 1.53434	-0.23525
 1.53434	-0.23525
 1.53434	-0.25046
 1.53434	-0.25046
 1.53434	-0.22498
 1.53434	-0.21860
 1.53434	-0.21860
 1.53434	-0.18319
 1.53434	-0.18319
 1.53434	-0.00905
 1.53434	-0.06672
 1.53434	-0.11491
 1.53434	-0.11491
 1.53434	-0.11491
 1.53434	-0.10274
 1.53434	-0.10274
 1.53434	-0.10224
 1.53434	-0.17237
 1.53434	-0.17237
 1.53434	-0.33315
 1.53434	-0.33792
 1.53434	-0.33792
 1.53434	-0.33792
 1.53434	-0.23236
 1.53434	-0.17764
 1.53434	-0.14093
 1.53434	-0.14093
 1.53434	-0.18735
 1.53434	-0.18591
 1.53434	-0.20204
 1.53434	-0.20204
 1.53434	-0.19789
 1.53434	-0.17766
 1.53434	-0.28262
 1.53434	-0.22079
 1.53434	-0.19322
 1.53434	-0.17841
 1.53434	-0.17841
 1.53434	-0.17841
 1.53434	-0.17841
 1.53434	-0.17841
 1.53434	-0.17524
 1.53434	-0.16126
 1.53434	-0.22539
 1.53434	-0.22539
 1.53434	-0.23473
 1.53434	-0.27056
 1.53434	-0.17050
 1.53434	-0.18822
 1.53434	-0.19137
 1.53434	-0.19137
 1.53434	-0.19137
 1.53434	-0.19137
 1.53434	-0.19137
 1.53434	-0.16895
 1.53434	-0.28428
 1.53434	-0.30883
 1.53434	-0.30883
 1.53434	-0.32701
 1.53434	-0.33687
 1.53434	-0.33687
 1.53434	-0.33687
 1.53434	-0.29826
 1.53434	-0.29826
 1.53434	-0.31631
 1.53434	-0.31631
 1.53434	-0.31631
 1.53434	-0.27260
 1.53434	-0.27260
 1.53434	-0.27260
 1.53434	-0.32351
 1.53434	-0.34000
 1.53434	-0.35323
 1.53434	-0.39094
 1.53434	-0.39094
 1.53434	-0.37856
 1.53434	-0.28117
 1.53434	-0.28838
 1.53434	-0.28838
 1.53434	-0.28838
 1.53434	-0.44151
 1.53434	-0.44255
 1.53434	-0.44264
 1.53434	-0.45630
 1.53434	-0.44918
 1.53434	-0.44918
 1.53434	-0.38657
 1.53434	-0.38657
 1.53434	-0.38657
 1.53434	-0.38488
 1.53434	-0.38488
 1.53434	-0.38488
 1.53434	-0.36603
 1.53434	-0.29957
 1.53434	-0.15078
 1.53434	-0.11210
 1.53434	-0.11210
 1.53434	-0.11210
 1.53434	-0.12515
 1.53434	 0.03206
 1.53434	 0.01052
 1.53434	 0.01052
 1.53434	-0.05464
 1.53434	-0.05464
 1.53434	-0.06707
 1.53434	-0.06707
 1.53434	-0.06707
 1.53434	-0.06707
 1.53434	-0.06707
 1.53434	-0.17194
 1.53434	-0.17194
 1.53434	-0.17194
 1.53434	-0.17194
 1.53434	-0.17194
 1.53434	-0.16252
 1.53434	-0.16252
 1.53434	-0.19158
 1.53434	-0.19247
 1.53434	-0.22043
 1.53434	-0.16623
 1.53434	-0.19566
 1.53434	-0.07904
 1.53434	-0.04963
 1.53434	-0.04963
 1.53434	-0.04963
 1.53434	-0.04963
 1.53434	-0.04963
 1.53434	-0.10483
 1.53434	-0.20288
 1.53434	-0.20288
 1.53434	-0.22436
 1.53434	-0.22436
 1.53434	-0.22436
 1.53434	-0.21476
 1.53434	-0.21476
 1.53434	-0.21451
 1.53434	-0.19632
 1.53434	-0.00773
 1.53434	-0.02076
 1.53434	-0.02076
 1.53434	-0.03177
 1.53434	-0.03177
 1.53434	-0.00728
 1.53434	-0.15182
 1.53434	-0.15182
 1.53434	-0.15448
 1.53434	-0.15518
 1.53434	-0.14671
 1.53434	-0.14334
 1.53434	-0.14334
 1.53434	-0.14033
 1.53434	-0.22622
 1.53434	-0.21653
 1.53434	-0.21653
 1.53434	-0.19552
 1.53434	-0.20516
 1.53434	-0.20464
 1.53434	-0.15849
 1.53434	-0.15849
 1.53434	-0.16488
 1.53434	-0.16488
 1.53434	-0.35065
 1.53434	-0.37211
 1.53434	-0.37211
 1.53434	-0.28521
 1.53434	-0.28516
 1.53434	-0.28516
 1.53434	-0.28516
 1.53434	-0.27335
 1.53434	-0.27335
 1.53434	-0.38553
 1.53434	-0.38553
 1.53434	-0.38553
 1.53434	-0.38553
 1.53434	-0.40705
 1.53434	-0.40705
 1.53434	-0.40336
 1.53434	-0.40336
 1.53434	-0.38568
 1.53434	-0.37589
 1.53434	-0.37589
 1.53434	-0.38715
 1.53434	-0.38715
 1.53434	-0.38138
 1.53434	-0.38714
 1.53434	-0.38714
 1.53434	-0.34888
 1.53434	-0.29950
 1.53434	-0.30989
 1.53434	-0.29408
 1.53434	-0.23208
 1.53434	-0.23208
 1.53434	-0.07989
 1.53434	-0.07278
 1.53434	-0.07278
 1.53434	-0.05773
 1.53434	-0.05773
 1.53434	-0.05773
 1.53434	-0.25602
 1.53434	-0.25602
 1.53434	-0.03225
 1.53434	-0.03041
 1.53434	-0.12109
 1.53434	-0.12109
 1.53434	-0.12109
 1.53434	-0.12109
 1.53434	-0.22096
 1.53434	-0.17066
 1.53434	-0.17066
 1.53434	-0.24846
 1.53434	-0.23917
 1.53434	-0.25140
 1.53434	-0.24253
 1.53434	-0.26665
 1.53434	-0.26665
 1.53434	-0.27813
 1.53434	-0.27715
 1.53434	-0.32849
 1.53434	-0.32849
 1.53434	-0.32849
 1.53434	-0.31983
 1.53434	-0.14597
 1.53434	-0.15384
 1.53434	-0.15384
 1.53434	-0.15384
 1.53434	-0.11099
 1.53434	 0.11194
 1.53434	 0.11194
 1.53434	 0.36706
 1.53434	 0.36706
 1.53434	 0.36706
 1.53434	 0.36706
 1.53434	 0.37968
 1.53434	 0.37110
 1.53434	 0.07997
 1.53434	 0.08139
 1.53434	 0.11785
 1.53434	 0.06690
 1.53434	 0.06373
 1.53434	-0.09756
 1.53434	-0.09756
 1.53434	-0.09756
 1.53434	-0.09756
 1.53434	-0.10923
 1.53434	-0.10879
 1.53434	-0.03821
 1.53434	-0.11530
 1.53434	-0.11530
 1.53434	-0.11675
 1.53434	-0.11675
 1.53434	-0.09591
 1.53434	-0.09591
 1.53434	-0.09591
 1.53434	-0.13036
 1.53434	-0.13036
 1.53434	-0.13036
 1.53434	-0.12889
 1.53434	-0.12889
 1.53434	-0.12141
 1.53434	-0.12141
 1.53434	-0.12141
 1.53434	-0.04568
 1.53434	-0.04568
 1.53434	-0.05821
 1.53434	-0.06102
 1.53434	-0.06159
 1.53434	-0.06159
 1.53434	-0.06510
 1.53434	-0.08984
 1.53434	-0.08984
 1.53434	-0.16406
 1.53434	-0.11260
 1.53434	-0.12318
 1.53434	-0.12364
 1.53434	-0.12364
 1.53434	-0.12431
 1.53434	-0.13676
 1.53434	-0.13676
 1.53434	-0.13676
 1.53434	-0.13676
 1.53434	-0.13503
 1.53434	-0.13503
 1.53434	-0.13503
 1.53434	-0.13503
 1.53434	-0.13502
 1.53434	-0.13502
 1.53434	-0.15193
 1.53434	-0.09108
 1.53434	-0.09108
 1.53434	-0.14349
 1.53434	-0.19040
 1.53434	-0.04803
 1.53434	-0.01824
 1.53434	-0.01824
 1.53434	-0.01824
 1.53434	 0.07410
 1.53434	 0.07410
 1.53434	 0.07410
 1.53434	 0.07494
 1.53434	 0.07494
 1.53434	 0.01542
 1.53434	 0.04002
 1.53434	 0.04002
 1.53434	 0.04002
 1.53434	 0.06596
 1.53434	 0.19572
 1.53434	 0.19572
 1.53434	 0.20053
 1.53434	-0.02977
 1.53434	-0.19855
 1.53434	-0.19855
 1.53434	 0.10388
 1.53434	 0.10388
 1.53434	 0.10453
 1.53434	 0.05889
 1.53434	 0.41046
 1.53434	 0.41046
 1.53434	 0.40721
 1.53434	 0.40721
 1.53434	 0.40721
 1.53434	 0.40721
 1.53434	 0.40721
 1.53434	 0.40721
 1.53434	 0.40721
 1.53434	 0.40721
 1.53434	 0.73595
 1.53434	 0.73595
 1.53434	 0.65364
 1.53434	 0.65053
 1.53434	 0.65053
 1.53434	 0.64623
 1.53434	 0.05264
 1.53434	 0.05264
 1.53434	-0.13198
 1.53434	-0.13285
 1.53434	-0.10327
 1.53434	-0.10327
 1.53434	 0.09277
 1.53434	 0.09277
 1.53434	 0.08701
 1.53434	 0.08701
 1.53434	 0.10599
 1.53434	 0.11282
 1.53434	 0.09351
 1.53434	 0.09351
 1.53434	 0.09351
 1.53434	-0.07799
 1.53434	-0.28453
 1.53434	-0.31172
 1.53434	-0.31172
 1.53434	-0.32041
 1.53434	-0.32041
 1.53434	-0.32041
 1.53434	-0.21268
 1.53434	-0.22418
 1.53434	-0.23694
 1.53434	-0.24363
 1.53434	-0.24049
 1.53434	-0.32170
 1.53434	-0.32670
 1.53434	-0.26331
 1.53434	-0.26331
 1.53434	-0.27088
 1.53434	-0.28344
 1.53434	-0.28344
 1.53434	-0.26786
 1.53434	-0.26786
 1.53434	-0.26786
 1.53434	-0.26786
 1.53434	-0.26304
 1.53434	-0.26304
 1.53434	-0.26304
 1.53434	-0.31137
 1.53434	-0.31137
 1.53434	-0.30466
 1.53434	-0.13585
 1.53434	-0.12008
 1.53434	-0.15130
 1.53434	-0.15130
 1.53434	 0.08020
 1.53434	 0.08175
 1.53434	 0.08175
 1.53434	 0.08175
 1.53434	 0.12315
 1.53434	 0.12191
 1.53434	 0.10325
 1.53434	 0.10508
 1.53434	 0.17101
 1.53434	 0.16323
 1.53434	 0.16542
 1.53434	 0.16542
 1.53434	 0.26810
 1.53434	 0.26810
 1.53434	 0.24643
 1.53434	 0.24643
 1.53434	 0.24620
 1.53434	 0.24620
 1.53434	 0.00639
 1.53434	 0.00639
 1.53434	-0.03284
 1.53434	-0.03284
 1.53434	-0.03620
 1.53434	-0.03620
 1.53434	-0.03620
 1.53434	-0.17190
 1.53434	-0.14863
 1.53434	-0.16855
 1.53434	-0.15848
 1.53434	-0.18259
 1.53434	-0.18307
 1.53434	-0.18307
 1.53434	-0.18307
 1.53434	-0.03721
 1.53434	-0.03721
 1.53434	-0.07004
 1.53434	-0.07144
 1.53434	-0.23611
 1.53434	-0.23611
 1.53434	-0.23611
 1.53434	-0.02268
 1.53434	-0.02268
 1.53434	-0.02268
 1.53434	-0.06100
 1.53434	-0.07921
 1.53434	-0.07921
 1.53434	-0.08292
 1.53434	-0.08774
 1.53434	-0.03824
 1.53434	-0.02790
 1.53434	-0.02790
 1.53434	 0.19430
 1.53434	 0.19430
 1.53434	 0.31415
 1.53434	 0.33308
 1.53434	 0.33308
 1.53434	 0.33308
 1.53434	 0.33308
 1.53434	 0.33177
 1.53434	 0.33108
 1.53434	 0.33309
 1.53434	 0.33309
 1.53434	 0.28986
 1.53434	 0.28986
 1.53434	 0.28894
 1.53434	 0.28894
 1.53434	 0.28222
 1.53434	 0.21828
 1.53434	 0.20595
 1.53434	 0.00807
 1.53434	 0.00807
 1.53434	 0.00807
 1.53434	-0.15544
 1.53434	-0.19431
 1.53434	-0.19431
 1.53434	-0.11279
 1.53434	-0.08120
 1.53434	-0.08038
 1.53434	-0.12127
 1.53434	-0.10470
 1.53434	 0.01259
 1.53434	 0.01259
 1.53434	 0.01483
 1.53434	 0.01483
 1.53434	 0.01483
 1.53434	 0.01483
 1.53434	 0.01483
 1.53434	 0.01483
 1.53434	 0.01483
 1.53434	 0.01483
 1.53434	-0.21184
 1.53434	-0.21336
 1.53434	-0.21261
 1.53434	-0.07726
 1.53434	-0.07726
 1.53434	-0.08767
 1.53434	-0.08767
 1.53434	-0.08747
 1.53434	-0.06222
 1.53434	-0.06222
 1.53434	-0.07771
 1.53434	-0.07771
 1.53434	-0.10768
 1.53434	-0.10768
 1.53434	-0.10845
 1.53434	-0.10519
 1.53434	-0.10574
 1.53434	 0.00170
 1.53434	 0.10224
 1.53434	 0.10224
 1.53434	 0.10224
 1.53434	 0.10224
 1.53434	 0.10224
 1.53434	 0.10224
 1.53434	 0.15346
 1.53434	-0.07161
 1.53434	-0.07095
 1.53434	-0.13777
 1.53434	-0.13777
 1.53434	-0.13759
 1.53434	-0.15643
 1.53434	-0.15643
 1.53434	-0.13646
 1.53434	-0.14124
 1.53434	-0.13846
 1.53434	-0.08093
 1.53434	-0.08384
 1.53434	-0.08384
 1.53434	-0.08384
 1.53434	-0.08379
 1.53434	-0.06809
 1.53434	-0.06816
 1.53434	-0.06816
 1.53434	-0.07024
 1.53434	-0.07024
 1.53434	-0.07024
 1.53434	-0.07024
 1.53434	 0.00799
 1.53434	 0.29820
 1.53434	 0.29820
 1.53434	 0.28370
 1.53434	 0.28405
 1.53434	 0.06764
 1.53434	 0.06764
 1.53434	 0.06764
 1.53434	 0.06764
 1.53434	 0.04942
 1.53434	-0.16436
 1.53434	-0.16436
 1.53434	-0.18258
 1.53434	-0.18901
 1.53434	-0.18993
 1.53434	-0.18839
 1.53434	-0.18839
 1.53434	-0.18839
 1.53434	-0.18866
 1.53434	-0.17948
 1.53434	-0.26472
 1.53434	-0.26472
 1.53434	-0.27105
 1.53434	-0.27243
 1.53434	-0.26511
 1.53434	-0.26866
 1.53434	-0.26866
 1.53434	-0.26866
 1.53434	-0.26866
 1.53434	-0.28832
 1.53434	-0.20794
 1.53434	-0.20652
 1.53434	-0.37278
 1.53434	-0.37278
 1.53434	-0.24590
 1.53434	-0.24590
 1.53434	-0.22074
 1.53434	-0.20782
 1.53434	-0.20783
 1.53434	-0.20783
 1.53434	-0.20783
 1.53434	-0.20783
 1.53434	-0.20783
 1.53434	-0.25149
 1.53434	-0.25149
 1.53434	-0.27176
 1.53434	-0.27176
 1.53434	-0.11624
 1.53434	-0.21328
 1.53434	-0.21395
 1.53434	-0.22221
 1.53434	-0.22221
 1.53434	-0.22221
 1.53434	-0.22221
 1.53434	-0.09046
 1.53434	-0.11577
 1.53434	-0.11577
 1.53434	-0.21528
 1.53434	-0.21528
 1.53434	-0.21528
 1.53434	-0.21876
 1.53434	-0.21321
 1.53434	-0.07538
 1.53434	-0.09194
 1.53434	-0.08183
 1.53434	-0.08394
 1.53434	-0.08394
 1.53434	 0.31627
 1.53434	 0.31627
 1.53434	 0.08219
 1.53434	 0.08219
 1.53434	 0.44381
 1.53434	 0.44396
 1.53434	 0.75396
 1.53434	 0.76132
 1.53434	 0.76132
 1.53434	 0.77620
 1.53434	 0.75698
 1.53434	 0.75698
 1.53434	 0.75698
 1.53434	 0.75456
 1.53434	 0.76964
 1.53434	 0.76964
 1.53434	 0.76923
 1.53434	 0.00712
 1.53434	 0.01025
 1.53434	 0.01025
 1.53434	 0.01025
 1.53434	 0.01516
 1.53434	 0.01516
 1.53434	 0.20959
 1.53434	 0.05134
 1.53434	 0.05134
 1.53434	 0.05134
 1.53434	 0.02914
 1.53434	 0.02914
 1.53434	 0.01107
 1.53434	 0.06729
 1.53434	 0.07579
 1.53434	 0.07579
 1.53434	 0.05655
 1.53434	 0.05655
 1.53434	 0.03887
 1.53434	 0.03887
 1.53434	 0.03887
 1.53434	 0.02403
 1.53434	 0.02403
 1.53434	 0.02403
 1.53434	-0.01581
 1.53434	 0.08866
 1.53434	 0.08866
 1.53434	 0.08866
 1.53434	 0.08866
 1.53434	 0.08513
 1.53434	 0.06259
 1.53434	 0.17939
 1.53434	 0.17939
 1.53434	 0.18851
 1.53434	 0.14831
 1.53434	 0.20975
 1.53434	 0.14547
 1.53434	 0.14547
 1.53434	 0.14547
 1.53434	 0.13691
 1.53434	 0.13691
 1.53434	 0.13691
 1.53434	 0.13691
 1.53434	-0.03208
 1.53434	-0.03725
 1.53434	-0.00727
 1.53434	-0.05582
 1.53434	-0.05582
 1.53434	-0.05544
 1.53434	-0.05588
 1.53434	-0.05588
 1.53434	-0.05568
 1.53434	-0.05563
 1.53434	-0.05563
 1.53434	-0.02437
 1.53434	-0.02437
 1.53434	 0.00563
 1.53434	 0.00563
